Category,Control Requirement
,"0817.01w2System.123
Unless the risk is identified and accepted by the data owner, sensitive systems are isolated (physically or logically) from non-sensitive applications/systems.
"
,"0850.01o1Organizational.12
Routing controls are implemented through security gateways (e.g., firewalls) used between internal and external networks (e.g., the Internet and third-party networks).
"
,"0858.09m1Organizational.4
The organization monitors for all authorized and unauthorized wireless access to the information system and prohibits installation of wireless access points (WAPs) unless explicitly authorized in writing by the CIO or his/her designated representative.
"
,"0859.09m1Organizational.78
The organization ensures the security of information in networks, availability of network services and information services using the network, and the protection of connected services from unauthorized access.
"
,"0860.09m1Organizational.9
The organization formally manages equipment on the network, including equipment in user areas.
"
,"0925.09v1Organizational.1
Legal considerations, including requirements for electronic signatures, are addressed.
"
,"0926.09v1Organizational.2
Approvals are obtained prior to using external public services, including instant messaging or file sharing.
"
,"0927.09v1Organizational.3
Stronger levels of authentication are implemented to control access from publicly accessible networks.
"
,"0928.09v1Organizational.45
Stronger controls are implemented to protect certain electronic messages, and electronic messages are protected throughout the duration of its end-to-end transport path, using cryptographic mechanisms unless protected by alternative measures.
"
,"0929.09v1Organizational.6
The organization never sends unencrypted sensitive information by end-user messaging technologies (e.g., email, instant messaging, and chat).
"
,"0942.09x2Organizational.5
Cryptographic controls are used to enhance security, taking into account compliance with legal requirements.
"
,"0943.09y1Organizational.1
Data involved in electronic commerce and online transactions is checked to determine if it contains covered information.
"
,"0944.09y1Organizational.2
Security is maintained through all aspects of the transaction.
"
,"0945.09y1Organizational.3
Protocols used to communicate between all involved parties are secured using cryptographic techniques (e.g., SSL).
"
,"0946.09y2Organizational.14
The organization requires the use of encryption between, and the use of electronic signatures by, each of the parties involved in the transaction.
"
,"0947.09y2Organizational.2
The organization ensures the storage of the transaction details are located outside of any publicly accessible environments (e.g., on a storage platform existing on the organization's intranet) and not retained and exposed on a storage medium directly accessible from the Internet.
"
,"11126.01t1Organizational.12
A time-out mechanism (e.g., a screen saver) pauses the session screen after 15 minutes of inactivity, closes network sessions after 30 minutes of inactivity, and requires the user to reestablish authenticated access once the session has been paused or closed; or, if the system cannot be modified, a limited form of time-out that clears the screen but does not close down the application or network sessions is used.
"
,"1129.01v1System.12
Access rights to applications and application functions are limited to the minimum necessary using menus.
"
,"1131.01v2System.2
Outputs from application systems handling covered information are limited to the minimum necessary and sent only to authorized terminals/locations.
"
,"1132.01v2System.3
Covered information is encrypted when stored in non-secure areas and, if not encrypted at rest, the organization documents its rationale.
"
,"1134.01v3System.1
Copy, move, print, and storage of sensitive data are prohibited when accessed remotely without a defined business need.
"
,"1145.01c2System.1
Role-based access control is implemented and capable of mapping each user to one or more roles, and each role to one or more system functions.
"
,"1146.01c2System.23
The organization promotes the development and use of programs that avoid the need to run with elevated privileges and system routines to avoid the need to grant privileges to users.
"
,"1147.01c2System.456
Elevated privileges are assigned to a different user ID from those used for normal business use, all users access privileged services in a single role, and such privileged access is minimized.
"
,"1148.01c2System.78
The organization restricts access to privileged functions and all security-relevant information.
"
,"1149.01c2System.9
The organization facilitates information sharing by enabling authorized users to determine a business partner's access when discretion is allowed as defined by the organization and by employing manual processes or automated mechanisms to assist users in making information sharing/collaboration decisions.
"
,"1150.01c2System.10
The access control system for the system components storing, processing or transmitting covered information is set with a default ""deny-all"" setting.
"
,"1307.07c1Organizational.124
The organization defines rules to describe user responsibilities and acceptable behavior for information system usage, including at a minimum, rules for email, Internet, mobile devices, social media and facility usage.
"
,"1324.07c1Organizational.3
Employees, contractors and third-party system users are aware of the limits existing for their use of the organization's information and assets associated with information processing facilities and resources; and they are responsible for their use of any information resource and of any use carried out under their responsibility.
"
,"18130.09p1Organizational.24
The organization ensures the risk of information leakage to unauthorized persons during secure media disposal is minimized. If collection and disposal services offered by other organizations are used, care is taken in selecting a suitable contractor with adequate controls and experience.
"
,"18131.09p1Organizational.3
Disposal methods are commensurate with the sensitivity of the information contained on the media.
"
,"1826.09p1Organizational.1
The organization securely disposes of media containing sensitive information.
"
,"1827.09p2Organizational.1
The organization takes measures to minimize the aggregation effect, which may cause a large quantity of non-covered information to become covered through accumulation of media for disposal.
"
"PR.DS-6:  Integrity checking mechanisms are used to verify software, firmware, and information integrity","0706.10b1System.12
Applications developed by the organization are based on secure coding guidelines to prevent common vulnerabilities or undergo appropriate testing.
"
PR.DS-7:  The development and testing environment(s) are separate from the production environment,"0228.09k2Organizational.3
Rules for the migration of software from development to operational status are defined and documented by the organization hosting the affected application(s), including that development, test, and operational systems are separated (physically or virtually) to reduce the risks of unauthorized access or changes to the operational system.


"
,"0606.10h2System.1
Applications and operating systems are tested for usability, security, and impact prior to production.
"
PR.DS-8:  Integrity checking mechanisms are used to verify hardware integrity,"

"
PR.IP-1:  A baseline configuration of information technology/industrial control systems is created and maintained,"0401.01x1System.124579
Mobile computing devices are protected at all times by access controls, usage restrictions, connection requirements, encryption, virus protections, host-based firewalls, or equivalent functionality, secure configurations, and physical protections.
"
,"0404.01x1System.1011
Specially configured mobile devices are issued for personnel travelling to high risk locations and are checked for malware and physical tampering upon return.
"
,"0405.01y1Organizational.12345678
Teleworking activities are only authorized if security arrangements and controls that comply with relevant security policies and organizational requirements are in place.
"
,"0407.01y2Organizational.1
Prior to authorizing teleworking, the physical security of the teleworking site is evaluated and any threats/issues identified are addressed.
"
,"0501.09m1Organizational.1
Vendor defaults for wireless access points are changed prior to authorizing the implementation of the access point.
"
,"0607.10h2System.23
The organization uses its configuration control program to maintain control of all implemented software and its system documentation, and archives prior versions of implemented software and associated system documentation.
"
,"0627.10h1System.45
The organization maintains information systems according to a current baseline configuration and configures system security parameters to prevent misuse. Vendor supplied software used in operational systems is maintained at a level supported by the supplier and uses the latest version of web browsers on operational systems to take advantage of the latest security functions in the application.
"
,"0640.10k2Organizational.1012
Where development is outsourced, change control procedures to address security are included in the contract(s) and specifically require the developer to track security flaws and flaw resolution within the system, component, or service and report findings to organization-defined personnel or roles.
"
,"0806.01m2Organizational.12356
The organization’s network is logically and physically segmented with a defined security perimeter and a graduated set of controls, including subnetworks for publicly accessible system components that are logically separated from the internal network, based on organizational requirements; traffic is controlled based on functionality required and classification of the data/systems based on a risk assessment and their respective security requirements.
"
,"1309.01x1System.36
Personnel using mobile computing devices are trained on the risks, the controls implemented, and their responsibilities (e.g., shoulder surfing, physical protections).
"
PR.IP-2:  A System Development Life Cycle to manage systems is implemented,"0640.10k2Organizational.1012
Where development is outsourced, change control procedures to address security are included in the contract(s) and specifically require the developer to track security flaws and flaw resolution within the system, component, or service and report findings to organization-defined personnel or roles.
"
,"1780.10a1Organizational.1
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance with system and information integrity requirements and facilitates the implementation of system and information integrity requirements/controls.
"
,"1781.10a1Organizational.23
Information system specifications for security control requirements state that security controls are to be incorporated in the information system, supplemented by manual controls as needed, and these considerations are also applied when evaluating software packages, developed or purchased.
"
,"1782.10a1Organizational.4
Security requirements and controls reflect the business value of the information assets involved, and the potential business damage that might result from a failure or absence of security.
"
,"1783.10a1Organizational.56
A formal acquisition process is followed for purchased commercial products, and supplier contracts include the identified security requirements.
"
,"1784.10a1Organizational.7
Where the security functionality in a proposed product does not satisfy the specified requirement, the risk introduced and associated controls are reconsidered prior to purchasing the product.
"
,"1785.10a1Organizational.8
Where additional functionality is supplied and causes a security risk, the functionality is disabled or mitigated through application of additional controls.
"
,"1786.10a1Organizational.9
The organization requires developers of information systems, components, and developers or providers of services to identify (document) early in the system development life cycle, the functions, ports, protocols, and services intended for organizational use.
"
,"1787.10a2Organizational.1
Information security and privacy are addressed in all phases of the project management methodology.
"
,"1788.10a2Organizational.2
The organization has established and appropriately protected secure development environments for system development and integration efforts that cover the entire system development life cycle.
"
,"1789.10a2Organizational.3
The organization applies information system security engineering principles in the specification, design, development, implementation, and modification of security requirements and controls in developed and acquired information systems.
"
,"1790.10a2Organizational.45
The organization includes business requirements for the availability of information systems when specifying the security requirements; and, where availability cannot be guaranteed using existing architectures, redundant components or architectures are considered along with the risks associated with implementing such redundancies.
"
,"1791.10a2Organizational.6
Specifications for the security control requirements state automated controls will be incorporated in the information system, supplemented by manual controls as needed, as evidenced throughout the SDLC.
"
,"1792.10a2Organizational.7814
Information security risk management is integrated into the SDLC, and information security roles and responsibilities are defined for all SDLC phases.
"
,"1793.10a2Organizational.91011
The requirement definition phase includes (i) consideration of system requirements for information security and the processes for implementing security, and (ii) data classification and risk to information assets are assigned and approved (signed-off) by management to ensure appropriate controls are considered and the correct project team members are involved.
"
,"1794.10a2Organizational.12
When developing software or systems the organization performs thorough testing and verification during the development process.
"
,"1795.10a2Organizational.13
Independent acceptance testing proportional to the importance and nature of the system is performed both for in-house and for outsourced development to ensure the system works as expected and only as expected.
"
,"1796.10a2Organizational.15
Commercial products other than operating system software used to store and/or process covered information undergo a security assessment and/or security certification by a qualified assessor prior to implementation.
"
PR.IP-3:  Configuration change control processes are in place,"0605.10h1System.12
Only authorized administrators are allowed to implement approved upgrades to software, applications, and program libraries, based on business requirements and the security implications of the release.
"
,"0606.10h2System.1
Applications and operating systems are tested for usability, security, and impact prior to production.
"
,"0607.10h2System.23
The organization uses its configuration control program to maintain control of all implemented software and its system documentation, and archives prior versions of implemented software and associated system documentation.
"
,"0618.09b1System.1
Changes to information assets, including systems, networks, and network services, are controlled and archived.
"
,"0619.09b2System.12
Changes to equipment, software, and procedures are strictly and consistently managed.
"
,"0620.09b2System.3
Fallback procedures are defined and implemented, including procedures and responsibilities for aborting and recovering from unsuccessful changes and unforeseen events.
"
,"0626.10h1System.3
Operational systems only hold approved programs or executable code.
"
,"0628.10h1System.6
If systems or system components in production are no longer supported by the developer, vendor, or manufacturer, the organization is able to provide evidence of a formal migration plan approved by management to replace the system or system components.
"
,"0635.10k1Organizational.12
Managers responsible for application systems are also responsible for the strict control (security) of the project or support environment and ensure that all proposed system changes are reviewed to check that they do not compromise the security of either the system or the operating environment.
"
,"0636.10k2Organizational.1
The organization formally addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance for configuration management (e.g., through policies, standards, processes).
"
,"0637.10k2Organizational.2
The organization has developed, documented, and implemented a configuration management plan for the information system.
"
,"0638.10k2Organizational.34569
Changes are formally controlled, documented, and enforced in order to minimize the corruption of information systems.
"
,"0639.10k2Organizational.78
Installation checklists and vulnerability scans are used to validate the configuration of servers, workstations, devices, and appliances, and ensure the configuration meets minimum standards.
"
,"0640.10k2Organizational.1012
Where development is outsourced, change control procedures to address security are included in the contract(s) and specifically require the developer to track security flaws and flaw resolution within the system, component, or service and report findings to organization-defined personnel or roles.
"
,"0811.01n2Organizational.6
Exceptions to the traffic flow policy are documented with a supporting mission/business need, duration of the exception, and reviewed at least annually; traffic flow policy exceptions are removed when no longer supported by an explicit mission/business need.
"
"PR.IP-4:  Backups of information are conducted, maintained, and tested periodically","1616.09l1Organizational.16
Backup copies of information and software are made, and tests of the media and restoration procedures are regularly performed at appropriate intervals.
"
,"1617.09l1Organizational.23
A formal definition of the level of backup required for each system is defined and documented including how each system will be restored, the scope of data to be imaged, frequency of imaging, and duration of retention based on relevant contractual, legal, regulatory and business requirements.
"
,"1619.09l1Organizational.7
Inventory records for the backup copies, including content and current location, are maintained.
"
,"1621.09l2Organizational.1
Automated tools are used to track all backups.
"
,"1622.09l2Organizational.23
The integrity and security of the backup copies are maintained to ensure future availability, and any potential accessibility problems with the backup copies are identified and mitigated in the event of an area-wide disaster.
"
PR.IP-5:  Policy and regulations regarding the physical operating environment for organizational assets are met,"1814.08d1Organizational.12
Fire extinguishers and detectors are installed according to applicable laws and regulations.
"
,"1815.08d2Organizational.123
Fire prevention and suppression mechanisms, including workforce training, are provided.
"
,"1816.08d2Organizational.4
Any security threats presented by neighboring premises are identified.
"
,"1863.08d1Organizational.4
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities and compliance requirements for its physical and environmental protection program (e.g., through policy, standards, guidelines, and procedures).
"
PR.IP-6:  Data is destroyed according to policy,"18127.08l1Organizational.3
Surplus equipment is stored securely while not in use, and disposed of or sanitized when no longer required.
"
,"18130.09p1Organizational.24
The organization ensures the risk of information leakage to unauthorized persons during secure media disposal is minimized. If collection and disposal services offered by other organizations are used, care is taken in selecting a suitable contractor with adequate controls and experience.
"
,"18131.09p1Organizational.3
Disposal methods are commensurate with the sensitivity of the information contained on the media.
"
,"1825.08l1Organizational.12456
Electronic and physical media containing covered information is securely sanitized prior to reuse, or if it cannot be sanitized, is destroyed prior to disposal.
"
,"1826.09p1Organizational.1
The organization securely disposes of media containing sensitive information.
"
,"1827.09p2Organizational.1
The organization takes measures to minimize the aggregation effect, which may cause a large quantity of non-covered information to become covered through accumulation of media for disposal.
"
PR.IP-7:  Protection processes are continuously improved,"0102.00a2Organizational.123
The information protection program is formally documented and actively monitored, reviewed, and updated to ensure program objectives continue to be met.
"
,"0177.05h1Organizational.12
An independent review of the organization's information security management program is initiated by management to ensure the continuing suitability, adequacy, and effectiveness of the organization's approach to managing information security.
"
,"0179.05h1Organizational.4
If an independent review identifies that the organization's approach and implementation to managing information security is inadequate or not compliant with the direction for information security stated in the information security policy document, management takes corrective actions.
"
,"1601.12c1Organizational.1238
The organization can recover and restore business operations and establish an availability of information in the time frame required by the business objectives and without a deterioration of the security measures.
"
,"1666.12d1Organizational.1235
The organization creates, at a minimum, one business continuity plan and ensures each plan: (i) has an owner; (ii) describes the approach for continuity, ensuring at a minimum the approach to maintain information or information asset availability and security; and, (iii) specifies the escalation plan and the conditions for its activation, as well as the individuals responsible for executing each component of the plan.
"
,"1667.12d1Organizational.4
When new requirements are identified, any existing emergency procedures (e.g., evacuation plans or fallback arrangements) are amended as appropriate.
"
PR.IP-8:  Effectiveness of protection technologies is shared with appropriate parties,"0177.05h1Organizational.12
An independent review of the organization's information security management program is initiated by management to ensure the continuing suitability, adequacy, and effectiveness of the organization's approach to managing information security.
"
,"0178.05h1Organizational.3
The results of independent security program reviews are recorded and reported to the management official/office initiating the review; and the results are maintained for a predetermined period of time as determined by the organization, but not less than three years.
"
,"0179.05h1Organizational.4
If an independent review identifies that the organization's approach and implementation to managing information security is inadequate or not compliant with the direction for information security stated in the information security policy document, management takes corrective actions.
"
PR.IP-9:  Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,"1505.11a1Organizational.13
A formal security incident response program has been established to respond, report (without fear of repercussion), escalate and treat breaches and reported security events or incidents. Organization-wide standards are specified for the time required for system administrators and other personnel to report anomalous events to the incident handling team, the mechanisms for such reporting, and the kind of information that should be included in the incident notification. This reporting includes notifying internal and external stakeholders, the appropriate community Computer Emergency Response Team, and law enforcement agencies in accordance with all legal or regulatory requirements for involving such organizations in computer incidents.
"
,"1507.11a1Organizational.4
The organization has implemented an insider threat program that includes a cross-discipline insider threat incident handling team.
"
,"1509.11a2Organizational.236
The incident management program formally defines information security incidents and the phases of incident response; roles and responsibilities; incident handling, reporting and communication processes; third-party relationships and the handling of third-party breaches; and the supporting forensics program. The organization formally assigns job titles and duties for handling computer and network security incidents to specific individuals and identifies management personnel who will support the incident handling process by acting in key decision-making roles.
"
,"1510.11a2Organizational.47
Reports and communications are made without unreasonable delay and no later than 60 days after the discovery of an incident, unless otherwise stated by law enforcement orally or in writing, and include the necessary elements.
"
,"1516.11c1Organizational.12
The security incident response program accounts for and prepares the organization for a variety of incidents.
"
,"1517.11c1Organizational.3
There is a point of contact who is responsible for coordinating incident responses and has the authority to direct actions required in all phases of the incident response process.
"
,"1520.11c2Organizational.4
The incident response plan is communicated to the appropriate individuals throughout the organization.
"
,"1601.12c1Organizational.1238
The organization can recover and restore business operations and establish an availability of information in the time frame required by the business objectives and without a deterioration of the security measures.
"
,"1602.12c1Organizational.4567
The contingency program addresses required capacity, identifies critical missions and business functions, defines recovery objectives and priorities, and identifies roles and responsibilities.
"
,"1603.12c1Organizational.9
Copies of the business continuity plans are distributed to key contingency personnel.
"
,"1604.12c2Organizational.16789
Alternative storage and processing sites are identified (permanent and/or temporary) at a sufficient distance from the primary facility and configured with security measures equivalent to the primary site, and the necessary third-party service agreements have been established to allow for the resumption of information systems operations of critical business functions within the time period defined (e.g., priority of service provisions) based on a risk assessment, including Recovery Time Objectives (RTO), in accordance with the organization's availability requirements.
"
,"1607.12c2Organizational.4
Business continuity planning includes identification and agreement on all responsibilities, business continuity processes, and the acceptable loss of information and services.
"
,"1608.12c2Organizational.5
Business continuity plans are stored in a remote location.
"
,"1634.12b1Organizational.1
The organization identifies the critical business processes requiring business continuity.
"
,"1635.12b1Organizational.2
Information security aspects of business continuity are: (i) based on identifying events (or sequence of events) that can cause interruptions to the organization's critical business processes (e.g., equipment failure, human errors, theft, fire, natural disasters acts of terrorism); (ii) followed by a risk assessment to determine the probability and impact of such interruptions, in terms of time, damage scale and recovery period; (iii) based on the results of the risk assessment, a business continuity strategy is developed to identify the overall approach to business continuity; and, (iv) once this strategy has been created, endorsement is provided by management, and a plan created and endorsed to implement this strategy.
"
,"1666.12d1Organizational.1235
The organization creates, at a minimum, one business continuity plan and ensures each plan: (i) has an owner; (ii) describes the approach for continuity, ensuring at a minimum the approach to maintain information or information asset availability and security; and, (iii) specifies the escalation plan and the conditions for its activation, as well as the individuals responsible for executing each component of the plan.
"
,"1667.12d1Organizational.4
When new requirements are identified, any existing emergency procedures (e.g., evacuation plans or fallback arrangements) are amended as appropriate.
"
,"1670.12d2Organizational.1
Each business unit creates at a minimum one business continuity plan.
"
,"1671.12d2Organizational.2
The organization ensures business continuity matters are always timely addressed in its management of system changes.
"
PR.IP-10:  Response and recovery plans are tested,"1521.11c2Organizational.56
Testing exercises are planned, coordinated, executed, and documented periodically, at least annually, using reviews, analyses, and simulations to determine incident response effectiveness. Testing includes personnel associated with the incident handling team to ensure that they understand current threats and risks, as well as their responsibilities in supporting the incident handling team.
"
,"1589.11c1Organizational.5
The organization tests and/or exercises its incident response capability regularly.
"
"PR.IP-11:  Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)","0104.02a1Organizational.12
User security roles and responsibilities are clearly defined and communicated.
"
,"0105.02a2Organizational.1
Risk designations are assigned for all positions within the organization as appropriate, with commensurate screening criteria, and reviewed/revised every 365 days.
"
,"0106.02a2Organizational.23
The pre-employment process is reviewed by recruitment to ensure security roles/responsibilities are specifically defined (in writing) and clearly communicated to job candidates.
"
,"0107.02d1Organizational.1
The organization has an information security workforce improvement program.
"
,"0108.02d1Organizational.23
The organization ensures plans for security testing, training, and monitoring activities are developed, implemented, maintained, and reviewed for consistency with the risk management strategy and response priorities.
"
,"0109.02d1Organizational.4
Management ensures users are (i) briefed on their security role(s)/responsibilities, conform with the terms and conditions of employment prior to obtaining access to the organization’s information systems; (ii) provided with guidelines regarding the security expectations of their roles; (iii) motivated to comply with security policies; and, (iv) continue to have the appropriate skills and qualifications for their role(s).
"
,"0112.02d2Organizational.3
Acceptable usage is defined and usage is explicitly authorized.
"
,"0135.02f1Organizational.56
The organization employs a formal sanctions process for personnel failing to comply with established information security policies and procedures, and notifies defined personnel (e.g., supervisors) within a defined time frame (e.g., 24 hours) when a formal sanction process is initiated, identifying the individual sanctioned and the reason for the sanction. Further, the organization includes specific procedures for license, registration, and certification denial or revocation and other disciplinary action.
"
,"0137.02a1Organizational.3
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance requirements for its human resources security protection program (e.g., through policy, standards, guidelines, and procedures).
"
,"1008.01d2System.3
Users sign a statement acknowledging their responsibility to keep passwords confidential.
"
,"1109.01b1System.479
User registration and deregistration, at a minimum: (i) communicates relevant policies to users and require acknowledgement (e.g., signed or captured electronically); (ii) checks authorization and minimum level of access necessary prior to granting access; (iii) ensures access is appropriate to the business needs (consistent with sensitivity/risk and does not violate segregation of duties requirements); (iv) addresses termination and transfer; (v) ensures default accounts are removed and/or renamed; (vi) removes or blocks critical access rights of users who have changed roles or jobs; and, (vii) automatically removes or disables inactive accounts.
"
,"1110.01b1System.5
Users are given a written statement of their access rights, which they are required to sign stating they understand the conditions of access. Guest/anonymous, shared/group, emergency and temporary accounts are specifically authorized and use monitored.
"
,"11154.02i1Organizational.5
Access rights to information assets and facilities is reduced or removed before the employment or other workforce arrangement terminates or changes, depending on the evaluation of risk factors.
"
,"11155.02i2Organizational.2
The organization employs automated mechanisms to notify specific personnel or roles (formally defined by the organization) upon termination of an individual.
"
,"1135.02i1Organizational.1234
Upon termination or changes in employment for employees, contractors, third-party users, or other workforce arrangement, physical and logical access rights and associated materials (e.g., passwords, keycards, keys, documentation that identify them as current members of the organization) are removed or modified to restrict access within 24 hours and old accounts are closed after 90 days of opening new accounts.
"
,"1136.02i2Organizational.1
For instances of increased risk, physical, and logical access rights are immediately removed or modified following employee, contractor or third-party user termination, and allow for immediate escorting from the site, if necessary.
"
,"1137.06e1Organizational.1
Acceptable use agreements are signed by all employees before being allowed access to information assets.
"
,"1138.06e2Organizational.12
Computer login banners are displayed outlining the terms and conditions of access and are accepted before access is granted.
"
,"1201.06e1Organizational.2
The organization provides notice that the employee's actions may be monitored, and that the employee consents to such monitoring.
"
,"1301.02e1Organizational.12
Employees and contractors receive documented initial (as part of their onboarding within 60 days of hire), annual, and ongoing training on their roles related to security and privacy.
"
,"1302.02e2Organizational.134
Dedicated security and privacy awareness training is developed as part of the organization's onboarding program, is documented and tracked, and includes the recognition and reporting of potential indicators of an insider threat.
"
,"1306.06e1Organizational.5
Employees and contractors are informed in writing that violations of the security policies will result in sanctions or disciplinary action.
"
,"1307.07c1Organizational.124
The organization defines rules to describe user responsibilities and acceptable behavior for information system usage, including at a minimum, rules for email, Internet, mobile devices, social media and facility usage.
"
,"1406.05k1Organizational.110
A standard agreement with third-parties is defined and includes the required security controls in accordance with the organization's security policies.
"
,"1407.05k2Organizational.1
The specific limitations of access, arrangements for compliance auditing, penalties, and the requirement for notification of third-party personnel transfers and terminations are identified in the agreement with the third-party.
"
,"1432.05k1Organizational.89
The organization ensures a screening process is carried out for contractors and third-party users, and, where contractors are provided through an organization, the contract with the organization clearly specifies (i) the organization's responsibilities for screening and the notification procedures they need to follow if screening has not been completed, or if the results give cause for doubt or concern; and, (ii) all responsibilities and notification procedures for screening.
"
,"1501.02f1Organizational.123
Sanctions are fairly applied to employees following violations of the information security policies once a breach is verified and includes consideration of multiple factors. The organization documents personnel involved in incidents, steps taken, and the timeline associated with those steps, steps taken for notification, the rationale for discipline, and the final outcome for each incident.
"
,"1502.02f1Organizational.4
A list of employees involved in security incidents is maintained with the resulting outcome from the investigation.
"
,"1503.02f2Organizational.12
A contact in HR is appointed to handle employee security incidents and notify the CISO or a designated representative of the application of a formal employee sanctions process, identifying the individual and the reason for the sanction.
"
,"1504.06e1Organizational.34
Management approves the use of information assets and takes appropriate action when unauthorized activity occurs.
"
,"1525.11a1Organizational.6
The organization takes disciplinary action against workforce members that fail to cooperate with federal and state investigations.
"
PR.IP-12:  A vulnerability management plan is developed and implemented,"0613.06h1Organizational.12
The organization performs annual checks on the technical security configuration of systems, either manually by an individual with experience with the systems and/or with the assistance of automated software tools, and takes appropriate action if non-compliance is found.
"
,"0711.10m2Organizational.23
A technical vulnerability management program is in place to monitor, assess, rank, and remediate vulnerabilities identified in systems.
"
,"0712.10m2Organizational.4
Internal and external vulnerability assessments of covered information systems, virtualized environments, and networked environments, including both network- and application-layer tests, are performed by a qualified individual on a quarterly basis or after significant changes.
"
,"0713.10m2Organizational.5
Patches are tested and evaluated before they are installed.
"
,"0714.10m2Organizational.7
The technical vulnerability management program is evaluated on a quarterly basis.
"
,"0715.10m2Organizational.8
Systems are appropriately hardened (e.g., configured with only necessary and secure services, ports, and protocols enabled).
"
,"0737.10m2Organizational.9
Information resources—that will be used to identify relevant technical vulnerabilities and to maintain awareness about them—are identified for software and other technology, and the information resources identified are updated based on changes in the inventory, or when other new or useful resources are found.
"
,"1707.03c1Organizational.12
The organization uses a formal methodology with defined criteria for determining risk treatments and ensuring that corrective action plans for the security program and the associated organizational information systems are prioritized and maintained; and the remedial information security actions necessary to mitigate risk to organizational operations and assets, individuals, and other organizations are documented.
"
,"1708.03c2Organizational.12
A risk treatment plan that identifies risks and nonconformities, corrective actions, resources, responsibilities and priorities for managing information security risks is regularly reviewed and updated.
"
"PR.MA-1:  Maintenance and repair of organizational assets is performed and logged in a timely manner, with approved and controlled tools","1193.01l2Organizational.13
Controls for the access to diagnostic and configuration ports include the use of a key lock and the implementation of supporting procedures to control physical access to the port.
"
,"18108.08j1Organizational.1
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities and compliance requirements for its equipment maintenance program (e.g., through policy, standards, guidelines, and procedures).
"
,"18109.08j1Organizational.4
The organization maintains a list of authorized maintenance organizations or personnel, ensures that non-escorted personnel performing maintenance on the information system have required access authorizations, and designates organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.
"
,"18110.08j1Organizational.5
The organization monitors and controls non-local maintenance and diagnostic activities; and prohibits non-local system maintenance unless explicitly authorized, in writing, by the CIO or his/her designated representative.
"
,"18111.08j1Organizational.6
The organization obtains maintenance support and/or spare parts for defined key information system components (defined in the applicable security plan) within the applicable Recovery Time Objective (RTO) specified in the contingency plan.
"
,"1819.08j1Organizational.23
Maintenance and service are controlled and conducted by authorized personnel in accordance with supplier-recommended intervals, insurance policies and the organization’s maintenance program, taking into account whether this maintenance is performed by personnel on site or external to the organization.
"
,"1820.08j2Organizational.1
Covered information is cleared from equipment prior to maintenance unless explicitly authorized.
"
,"1821.08j2Organizational.3
Following maintenance, security controls are checked and verified.
"
,"1822.08j2Organizational.2
Records of maintenance are maintained.
"
"PR.MA-2:  Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access","1116.01j1Organizational.145
Strong authentication methods are implemented for all external connections to the organization’s network.
"
,"1117.01j1Organizational.23
Remote access by vendors and business partners (e.g., for remote maintenance) is disabled/deactivated when not in use.
"
,"1128.01q2System.5
Help desk support requires user identification for any transaction that has information security implications.
"
,"18108.08j1Organizational.1
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities and compliance requirements for its equipment maintenance program (e.g., through policy, standards, guidelines, and procedures).
"
,"18110.08j1Organizational.5
The organization monitors and controls non-local maintenance and diagnostic activities; and prohibits non-local system maintenance unless explicitly authorized, in writing, by the CIO or his/her designated representative.
"
,"1819.08j1Organizational.23
Maintenance and service are controlled and conducted by authorized personnel in accordance with supplier-recommended intervals, insurance policies and the organization’s maintenance program, taking into account whether this maintenance is performed by personnel on site or external to the organization.
"
"PR.PT-1:  Audit/log records are determined, documented, implemented, and reviewed in accordance with policy","1120.09ab3System.9
Unauthorized remote connections to the information systems are monitored and reviewed at least quarterly, and appropriate action is taken if an unauthorized connection is discovered.
"
,"1152.01c3System.2
The organization audits the execution of privileged functions on information systems and ensures information systems prevent non-privileged users from executing privileged functions.
"
,"1202.09aa1System.1
A secure audit record is created for all activities on the system (create, read, update, delete) involving covered information.
"
,"1203.09aa1System.2
Audit records include the unique user ID, unique data subject ID, function performed, and date/time the event was performed.
"
,"1204.09aa1System.3
The activities of privileged users (administrators, operators, etc.) include the success/failure of the event, time the event occurred, the account involved, the processes involved, and additional information about the event.
"
